id	productname
51	ON1 Nước rửa tay sạch khuẩn hương Bambo Charcoal chai 500ml
52	Bàn chải KAKA NANO 189 (giao màu ngẫu nhiên)
53	 Bánh Chưng Gù Bà Khang đặc sản Hà Giang túi 400g +/-30gr [OCOP]
54	"ARIEL Nước giặt cửa trước size siêu đại 3,9L sạch bẩn hương Downy nắng sớm"
55	Bánh bông lan nho Staff gói 38g
56	Gà ác nguyên con tươi sạch 3G hộp 1 con kèm thuốc bắc
57	[ Mua chung ] Combo 5 thịt heo xay giun quế Anfood khay 300gr +/- 15gr
58	Thịt ba chỉ (ba rọi) heo giun quế có da Anfood khay 300gr+/-15gr
59	Dẻ sườn bò ta tươi rút xương Anfood khay 200gr +/- 10gr
60	(QUÀ TẶNG) Kẹo gum không đường Xylitol hương Lime Mint vỉ 11.6gr
61	Thớt tre tự nhiên Sunhouse KS-CH3020B
62	Nước Rửa Tay Lifebuoy Vitamin Bảo Vệ Vượt Trội 10 Dạng Túi 1kg
63	Nước Rửa Tay Lifebuoy Chanh Khử Mùi Chai 180g
64	Combo 5 gói Mì Hảo Hảo tôm chua cay Ace Cook gói 75gr
65	Bánh quế Oreo Vani Wafer Roll hộp 54g
66	Rau Muống Nước túi 400g +/-10g
67	Thịt vai bò ta tươi Anfood  khay 200gr +/- 10gr
68	Thịt heo xay giun quế Anfood khay 300gr+/-15gr
69	"Dừa xiêm đỏ nguyên vỏ, Trái 1,2kg"
70	Bánh Phồng Tôm Đặc Biệt Sa Giang gói 100g
71	Gà ta lai gà Hồ làm sạch con từ 1.4-1.8 kg
72	Khoai Tây Đà Lạt túi 500g +/- 15g
73	Tẩy Trang Garnier 400ml Xanh cho da dầu mụn 
74	Nấm hương tươi khay 200gr - NCC Thiên Cảnh
75	Bánh kem xốp Nabati vị phomai gói 17gr
76	Thịt lợn mán tươi rút xương Anfood khay 300gr +/-10gr
77	Nấm linh chi nâu túi 125gr 
78	Bánh bông lan tròn Kido cupcake Castella socola 20Gr
79	Lốc 4 hộp Gotz Sữa chua ăn Có đường hộp 75gr
80	 Lốc 4 hộp sữa chua Vinamilk không đường 100gr
81	Trà thảo dược Boganic không đường chai 290ml
82	Cải chíp thủy canh túi 300gr
83	QT Trà xanh không độ vị chanh chai 455ml
84	Thùng 48 hộp sữa lúa mạch Milo UHT hộp 180ml
85	(QUÀ TẶNG) Snack tảng Q Royal vị thịt nướng 60gr
86	Lốc 3 hộp Sữa yến mạch vị socola OATSIDE 200ml
87	Cua đồng xay tinh chất Bà Bích túi 200gr
88	[ĐẶC SẢN SAPA] _Ngồng su hào túi 400gr
89	Snack tảng Q Royal vị thịt nướng 60gr
90	[ DIỆN MẠO MỚI ] Xúc Xích Vealz CP Red 390 (10 cây) gói 500gr
91	[CỰC RẺ] Thùng 24 lon Bia Sài Gòn Lager lon 330ml (Bao bì thường)
92	Khăn lau tay nhà bếp có quai treo
93	Hạt nêm Knorr thịt thăn xương ống và tủy gói 400g tặng thêm gói 65g cùng loại
94	Dầu Ăn Happi Koki Chai 1L
95	"Chuối Cau Tiền Giang, nải 0,6-1kg"
96	[ LỐC 5 CHAI ] Sữa Chua Uống Lên Men Yakult lốc 5 chai x 65ml
97	Combo 5 Bịch Sữa Tươi Tiệt Trùng có đường Dutch Lady 180ml
98	"Dưa hấu miền đông, trái 2.6-3.1 kg "
99	Khăn Ướt Lau Bếp Đa Năng Kitchen Wipes Gói 80 tờ 630g
100	TOP GIA Khăn giấy rút đáy treo tường cao cấp 1000 tờ 4 lớp 130 x 175mm
101	Nước tẩy bồn cầu Vim Zero hương chanh Xanh Chai 750ml
102	[CỰC RẺ] Thùng 24 lon bia Hà Nội lon 330ml (Bao bì thường)
103	Cá basa nuôi bè béo ngậy cắt khúc TPFood khay 500gr +/- 50gr ( SẢN PHẨM BAO GỒM CẢ MẠ BĂNG 35% )
104	Trứng gà so tươi HG size 45 - 55gr hộp 10 quả
105	Sữa đậu nành Fami Nguyên chất bịch 200ml
106	[CỰC RẺ] Dầu ăn Neptune Light chai 1 Lít
107	[Giảm 31%] 5 khay Thịt xay heo Nga ACE FOODS khay 300gr +/- 15gr (nạc vai xay)
108	[CỰC RẺ] Thùng 24 lon Nước Redbull 250ml nhập khẩu Thái Lan 
109	"Miếng chà rửa chén, bát 2 mặt"
110	"Cam Sành vắt nước trái Lớn, Túi 0.9 - 1.1kg"
111	[QUÀ TẶNG] Gạo tấm thơm ST25 túi 2Kg
112	Gạo Dân tộc Đặc Sản Kampot Dẻo Thơm túi 5kg
113	Bánh rán Doremon Kido - Bánh Dorayaki Kido socola 30g
114	[CỰC RẺ] Dầu đậu nành Simply can 5 lít
115	Bánh giò tôm thịt trứng cút Kitkool (LC Foods) gói 150g
116	"Kem đánh răng thảo dược giảm ê buốt, ngừa viêm lợi, trắng răng Kingphar Hộp 100g"
117	Cà Chua Beef Đà Lạt khay 500g +/-15g
118	Thịt Heo Đa Năng (Thịt Vụn) Vĩnh Tân Khay 200g +/- 10g
119	Thùng 48 bịch Sữa tiệt trùng Đà Lạt Milk  vị tự nhiên bịch 220ml
120	 Thùng 31 gói mì Hảo Hảo tôm chua cay Ace Cook gói 75gr
121	KimChi Bibigo Cải Thảo Cắt Lát Túi 100g
122	Cháo thịt bằm Vifon gói 70gr (có gói thịt bằm)
123	Bình đựng nước hàn quốc 1000ml Song Long (Giao màu ngẫu nhiên)
124	Thịt xay heo CP túi 1kg
125	Thịt ức phile gà CP ( Ức Trong ) Khay 500gr
126	Sữa Rửa Mặt CeraVe Sạch Sâu Cho Da Thường Đến Da Dầu Foaming Cleanser 236ml
127	Trứng gà ta MP Green size 45 - 50 gr hộp 10 quả
128	Nước dừa tươi Coco Fresh hộp 1 lít
129	Gạo lứt đen dẻo Điện Biên túi 3kg 
130	Chè dừa dầm thơm ngon mát lạnh (1 hộp)
131	Nem bùi CT chuẩn vị Bắc Ninh gói 150gr
132	Há cảo tôm LC gói 300G 15V
133	Dầu đậu nành nhập khẩu Nga Hasukook chai 1L
134	Xúc xích Romas Đức Việt gói 500gr
135	[CỰC RẺ] Thùng 24 Lon Bia 333 lon 330ml (Bao bì thường)
136	"Gia vị lẩu trường thọ Haidilao gói 110gr (3-5 người ăn, kèm theo táo đỏ và kì tử)"
137	Tương ớt Chinsu chai 500gr
138	Cá trứng Nauy WIKIFOOD khay 500gr+/-25gr
139	[CỰC RẺ] MEIJI PAIGEN Lốc 4 Hộp 85ml Sữa chua uống nguyên chất
140	Bánh bao xá xíu O'food Đức Việt gói 200g (2 cái)
141	Lốc 5 chai sữa chua uống Vinamilk Probi vị dứa chai 65ml
142	Gan gà CP túi 500gr
143	Bí đỏ sơ chế túi 400gr
144	Nem thịt ngon CP hộp 500gr ĐL
145	Xúc xích cocktail CP gói 200gr
146	[MUA CHUNG] 5 SET Màng bọc thực phẩm co giãn có chun kèm túi gấu  ( 80- 100 chiếc)
147	Dồi sụn phúc mơ PM Foods túi 500gr
148	Nấm đùi gà khay 250gr
149	Đậu cove túi 500gr +/- 20gr
150	Me chua nấu canh hộp 60g
151	Băng Vệ Sinh Diana Sensi Siêu Mỏng Cánh gói 8 miếng
152	Sữa đậu nành Fami Nguyên chất hộp 1 lít
153	Trứng Gà So Thanh Nhân hộp 10 quả
154	Cốt Lết Heo ăn chay BaF khay 300g
155	Bí Đỏ Hồ Lô Trái Lớn Từ 500-700g
156	Dầu Ăn Happi Koki chai 400ml
157	Sủi cảo nhân thập cẩm ANTA gói 500gr
158	Cá viên Deli FOOD gói 200g ( 20 viên)
159	Đậu hũ hải sản phô mai Muwono gói 500gr
160	Xúc xích winner CP gói 200gr
161	Heo viên nấm hương CP gói 300gr
162	Combo 5 gói Mì cay hương vị gà cay phô mai Nissin gói 72gr
163	Dưa leo baby khay 500gr +/- 20gr
164	Lốc 4 hộp sữa tiệt trùng Vinamilk ít đường hộp 180ml
165	Nước Giặt Xả 5 in 1 DIMARK Hương Nước Hoa Nồng Nàn Túi 3.5kg
166	[ LỐC 6 CHAI ]Trà mật ong hương Hoa Lài Boncha 450ml
167	Tương Ớt PET Cholimex chai 270g
168	Thùng 48 hộp sữa lúa mạch Milo UHT ÍT ĐƯỜNG hộp 180ml
169	Cốc (ly) có quai 54 Song Long 290ml 3054 (giao màu ngẫu nhiên)
170	Cốc đong Inochi Yoko 500ml
171	Trứng gà ta AH hộp 10 quả
172	Xả tồn Quýt babi túi 2kg +/- 50gr
173	(RẺ) Thịt ức gà phile không da JAPFA BEST khay 500gr
174	(Quà tặng) TOP GIA Giấy ăn đa sắc 240 tờ 4 lớp 140mm x 175mm
175	Cam kiếng nhập khẩu túi 0.8kg - 1kg 
176	Cá viên ANTA gói 500gr
177	[MUA CHUNG] Combo 4 túi Gạo tám Thái thơm dẻo Trịnh Gia túi 5kg
178	Nạc Heo Xay Vĩnh Tân Khay 300g +/-30g
179	Phi Lê Ức Gà Có Da Sunny Gold Khay 500g
180	Thịt Xay Heo CP Khay 300g
181	Khổ Qua khay 500g +/-15g
182	Xúc xích tiệt trùng Oizi hương vị heo DABACO gói 100g
183	Kisshu 3 múi nhân bơ sữa Bảo Ngọc gói 70g
184	Bột Tẩy Rửa Làm Sạch Lồng Máy Giặt Lc Powder Washing Machine Tub Cleaner Oxygen-Type 250G
185	QT Bánh con cá Bống Bang Mochi Socola đậu đỏ Orion gói 145gr (5gói*29gr)
186	Bánh con cá Bống Bang Mochi Socola đậu đỏ Orion gói 145gr (5gói*29gr)
187	Thịt Bò Xay tươi Trung Đồng Khay 250g
188	Mì Xào Hảo Hảo Vị Tôm Xào Chua Ngọt gói 75 gam (Block)
189	Sữa Đặc Ngôi Sao Phương Nam Xanh Lá Hộp Giấy 380g
190	Snack Toonies Orion vị phô mai gói 40g
191	Snack Oishi Phomat Miếng LWW gói 34gr
192	Đùi gà góc tư tươi CP VIETGAP khay 500gr+/-25gr
193	Cá basa cắt khúc Miền Hạ Long khay 300gr
194	Lê đường xanh khay 0.8 - 1kg
195	Tương ớt Chinsu chai 250gr
196	Tương ớt Pet Cholimex chai 270gr
197	Xúc xích vườn bia Đức Việt gói 450gr
198	Cải Xanh túi 400g +/-10g
199	Lốc 4 hộp Sữa lúa mạch có canxi B'fast hộp 180ml
200	Trứng gà ta Organic Green Bee's hộp 10 quả
201	Lạp sườn ( lạp xưởng) nướng đá Muwono thơm ngon khó cưỡng gói 500gr
202	Chả Lụa Kiểu Huế Hoa Doanh Gói 200g
203	Mì Omachi Bắp Bò Hầm Dưa Chua gói 120g
204	Mì Xào 3 Miền Gold Hành Phi gói 75g
205	Bánh Mì Thịt Xốt Mayonnaise Otto 50G
206	Mướp Hương túi 400-600g
207	Nước mắm Cá Cơm tròn vị Hồng Hạnh chai 500ML
208	Trứng Cút Tươi Thanh Nhân hộp 30 quả
209	Sườn heo Nga chặt dẻ khay 500gr +/- 25gr
210	Ba chỉ bò Argentina ACE Foods gói 300gr
211	Vịt tươi CP cắt miếng sẵn hộp 1kg
212	"Sầu Riêng Ri 6 Miền Tây, trái 1.5-1.9kg"
213	Riềng xay túi 200gr
214	Bắp ngô nếp bắp từ 130-250gr
215	Ngô chiên Thảo Linh Linh giòn rụm thơm ngậy hộp 500gr
216	Thùng 24 ly mì Modern Acecook lẩu Thái tôm ly 67gr
217	Hảo Hảo mì vắt không gói gia vị túi 665gr (10 vắt x 66.5gr)
218	Lốc 4 hộp sữa chua Vinamilk ÍT ĐƯỜNG 100gr
219	Xúc xích Cocktail PM Foods túi 500gr
220	Mandu Bibigo Hải Sản Gói 175g
221	Nấm kim châm Enoki túi 150gr
222	Bibigo Lẩu Tokbokki Chả Cá gói 370g
223	"Chuối Sáp Nghệ Vĩnh Long Trái Rời, túi 500g +/-50g"
224	[GIẢM 63%] 5 Khay Bò Úc Xay (Đông Lạnh) Mr.T Khay 200g
225	Bánh Chocopie Orion hộp 6P 217.8G
226	Snack Khoai Tây Karamucho Koikeya Vị Cay Đặc Biệt gói 25g
227	Xúc Xích Xốt Tokpokki Vị Phô Mai Hàn Quốc Sóc Đầu Bếp Đức Việt ly 62g
228	"Đu Đủ Ruột Vàng, trái 0.8-1.1kg"
229	[Quà tặng] Kisshu bánh mì chà bông Bảo Ngọc gói 50g
230	(Mua Chung) Combo 3 Gói Viên thả lẩu trứng cá LC Foods gói 500g
231	Sữa chua Elovi có đường hộp 70g
232	Chả mực giã tay Quy Nhơn Thanh Vân (loại đặc biệt) khay 500g
233	Combo 3 túi nấm kim châm Enoki túi 150gr
234	Bột thạch rau câu dẻo giòn Agary BKB gói 12gr
235	Mì trộn tương đen Koreno Jjajangmen gói 115gr
236	Bàn Chải Đánh Răng Colgate Slimsoft Mềm Mảnh ( giao màu ngẫu nhiên)
237	Thịt vai (vai sấn) heo CP hộp 300gr
238	Cá Sụn sịn Ocean Aplus Gói 500g (Mạ băng 5%) +/-20g
239	Thịt hàu sữa Tứ Đại gói 300gr 
240	Trứng cút tươi HG hộp 30 quả
241	Đùi gà góc tư CP chặt miếng khay 500gr
242	Thịt ức vụn gà CP khay 300g
243	CHINSU Hủ Tiếu Bò Kho Gói 152g Date tháng 05/25
244	[COMBO] 3 Cuộn túi đựng rác dây rút - (1 cuộn 15 túi) (giao màu ngẫu nhiên)
245	Gia vị nấu phở Vipep gói 25g
246	Combo 2 Lốc Sữa Chua Uống Lên Men Yakult Light ít đường lốc 5 chai x 65ml
247	Sữa Tươi Meadow Fresh nguyên kem lốc 3 hộp x 200ml
248	COMBO 4 Hộp Sữa Chua Lên Men Đào Dalat Milk Cool C 180ml
249	Bột Gia Vị Ngũ Vị Hương Dh Foods Natural gói 10g
250	Xịt côn trùng Raid không mùi chai 520ml
251	Dầu Hào Kum Chun Lee Kum Kee Chai 510g
252	Tỏi bột Dh Foods Natural hũ 60g
253	Bơ lạt Anchor combo vỉ 10 hộp x 7gr
254	Túi 10 khẩu trang 5D Gumi mask 3 lớp kháng khuẩn lọc bụi (trắng)
255	Bánh mì Otto Sandwich tươi lạt gói 245g
256	Sữa Chua Dalat Milk Vị Dâu Tằm Hũ 100G
257	Sữa chua đào Dalat Milk Hũ 100g
258	Nghệ bột Vipep hũ PET 35g
259	Thùng 24 gói Mì Siukay Acecook hương vị Hải Sản  gói 128gr
260	Bánh bao chay Đức Việt gói 200gr (loại tròn)
261	Kim chi củ cải HoangMinhFoods hộp 500g
262	Thịt bò xay nhập khẩu Mỹ khay 300gr +/-15gr
263	Bắp ngô ngọt chuẩn an toàn
264	Đường Sạch Cô Ba Biên Hòa túi 1kg
265	[ LỐC 6 LON ] Trà bí đao Wonderfarm lốc 6 lon 310ml 
266	Cà Chua (Loại nhỏ) túi 0.9 - 1.1kg
267	Khoai Tây Bi Vàng Đà Lạt Túi 500g +/-20g
268	Sườn Nấu Đậu Vissan Hộp 170g
269	(MUA CHUNG) Combo 5 hộp Trứng gà ta HG size 50gr hộp 10 quả
270	Gạo Tám thơm Điện Biên Trịnh Gia túi 5kg 
271	"1 cuộn 50 Túi Đựng Rác Hương Lavender Xua Đuổi Ruồi Muỗi, Siêu Dai, Có Dây Rút"
272	Trà mật ong tắc BonCha lốc 6 chai 450ml
273	Xúc xích Zing Zing CP gói 500gr
274	Cá nục gai bỏ đầu TPFood khay 500gr +/- 30gr (khoảng 9-10 con)
275	Khoai tây size bé túi túi 2kg+/-50gr
276	Roi đỏ An Phước tươi ngon khay 0.9 - 1.1 kg
277	Xoài hạt lép mini túi 1kg +/- 40gr (Mã rám)
278	Combo 2kg Ổi Lê thơm ngon (Túi 2kg +/- 100gr )
279	[CỰC RẺ] Lốc 4 hộp Sữa chua ăn Mộc Châu cốm dừa 90g
280	[CỰC RẺ] Lốc 04 hộp Sữa chua nha đam Nutimilk Hộp 100g
281	[MUA CHUNG] COMBO 10 GÓI  Bánh mì tươi Salito Hải Châu vị cốm gói 30gr
282	Dưa chuột túi 1kg
283	Giá đỗ túi 300gr
284	"Mít Thái chín cây ngon giòn ngọt miếng từ 0,9 - 1,1kg"
285	Lốc  4 hộp Sữa Tươi Tiệt Trùng Mộc Châu ít đường 110ml
286	"Bắp cải thảo size từ 0,8-1,2kg"
287	Bánh mì tươi Salito Hải Châu vị Socola gói 30gr
288	Bánh mì tươi bơ ruốc Hải Châu gói 55gr
289	Bánh mì sừng bò mềm Hải Châu gói 55gr
290	Dưa Leo Baby Đà Lạt khay 500g +/-15g
291	Dưa Leo 500g +/-15g
292	"Xoài Giống Đài Loan , trái từ 500gr"
293	Miếng chà xoong nồi có tay cầm
294	(Qùa tặng) Tôm thẻ nõn Cà Mau hấp sơ size 90/120 khay 500gr
295	Tôm thẻ nõn Miền Hạ Long hấp sơ size 90/120 khay 500gr
296	Kem Đánh Răng Colgate Total Clean Mint Paste 150g
297	Bánh bao CP nhân thịt heo xá xíu gói 125gr
298	Sữa tươi ít đường TH true MILK bịch 220ml
299	Sữa yến mạch Oatside Barista Blend hộp 1 lít
300	Xương ống heo CP hộp 500gr
301	Thịt bắp chân giò CP hộp 300gr
302	Ngao (Nghêu) trắng sạch túi 1kg
303	Dứa tươi Thanh Hóa quả 600 - 800gr
304	Thùng 24 gói mì Siukay hương vị bò Acecook gói 127gr
305	Bông Cải Xanh Baby Đà Lạt 250g +/-10g
306	Há cảo tôm LC Foods gói 300g
307	Bánh bao nhân thịt heo trứng cút Đức Việt gói 440g (4 cái)
308	Pate gan 3 Bông Mai Vissan hộp 150g
309	Má đùi gà Ba Huân vỉ 500 g
310	Đường Kính Trắng Đường An Khê gói 1kg
311	Thịt Vai Heo CP Khay 300g
312	" Xoài Keo An Giang, túi 0.9-1.1kg (2-5 trái)"
313	Thịt Đùi Heo CP Khay 300g
314	Thịt dẻ sườn trâu nhập khẩu TPFood  khay 300gr+/-15gr
315	"Bầu sao quả từ 0,4-0,6kg"
316	Sữa đặc ngôi sao Phương Nam Vinamilk xanh biển hộp 1284gr
317	(MUA CHUNG) Combo 5 hộp Trứng gà tươi HG size 55gr hộp 10 quả
318	Xúc xích Festival Đức Việt gói 500gr
319	Thịt đùi vụn gà CP khay 300g
320	Sả Cây túi 250g +/- 5g
321	Lốc 5 chai sữa chua lên men Yakult 65ml
322	Lốc 4 hộp sữa lúa mạch Milo UHT hộp 180ml
323	Xoài keo vàng mã rám khay 0.8 - 1 kg
324	Lốc 4 hộp sữa chua Vinamilk nha đam 100gr
325	Mì 3 Miền Tôm Chua Cay thùng 30 gói x 65g/gói
326	Đậu Phụ Tươi Làng Mơ hộp 400g
327	Lốc 4 hộp Sữa chua ông Hiếu có đường hộp 90gr
328	Thịt ba rọi heo CP hộp 300gr
329	Gia vị hoàn chỉnh thịt kho tàu Knorr gói 28gr
330	Hành khô túi 200gr (hàng vụ mới)
331	Tương Ớt Sriracha Cholimex Chai 520g
332	Nạm bò ta tươi Anfood khay 200gr +/- 10gr
333	Viên Giặt OMO 3 Trong 1 Hương Tinh Tế Túi  30 viên 315g
334	Giấy Ăn Rút Cao Cấp Fairy Đào Gói 450 tờ/3 lớp 185 x 160mm
335	"Kéo cắt thực phẩm siêu nhạy bén, chất liệu thép chống gỉ kt: 28cm HTD"
336	Túi rác đen có quai Tahafa 500Gr
337	Khoai lang nhật túi 1kg +/- 50gr
338	"Bắp cải  VietGap, size bắp từ 1.2-1.5kg"
339	Ớt kim túi 100gr
340	Dưa hấu ruột đỏ quả từ 2 - 2.5 kg
341	Xúc xích phô mai Cheesy Đức Việt gói 250gr
342	Băng vệ sinh ban đêm Diana siêu thấm mặt lưới Super night 29cm (4 miếng) - 2207
343	Sandwich  Bảo Ngọc gói 275g
344	Băng vệ sinh DIANA SENSI Siêu mỏng cánh 08 miếng - 2202
345	Xúc xích hong khói Đức Việt gói 450gr
346	[CỰC RẺ] Thùng 30 gói mì Ba Miền Gold tôm chua cay đặc biệt gói 75g
347	Đậu hũ phô mai Icook gói 500gr
348	QUÀ TẶNG  Xúc Xích Thượng Hạng 3T Nguyên Vị gói 105g
349	QUÀ TẶNG Gạo đen Phúc Lộc Thọ VJA túi 1kg
350	Lạp xưởng tươi Sơn Đông gói 14 chiếc (500gr)
351	Túi 5Kg gạo A An ST21 thích là chốt
352	Thịt bắp heo CP túi 1kg
353	Cải xoong túi 400gr SAPA Lâm Anh
354	Ngải cứu túi 100gr
355	Cải ngọt túi 400gr
356	Tỏi cánh gà CP khay 500gr
357	Tim heo Ace Foods nhập khẩu Tây Ban Nha túi 400gr +/- 20gr
358	Ba chỉ bò cuộn Canada TPFood khay 500gr
359	Lẩu thái Cholimex chai 280g
360	Lốc 5 chai Sữa chua uống Vinamilk Probi có đường chai 65ml
361	Củ Su Hào 600 - 800g
362	Sữa Tươi Tiệt Trùng Nguyên Chất (Không Đường) TH True Milk Hộp 1L
363	Cà Rốt Đà Lạt túi 500g +/- 15g
364	Sa Tế Tôm Cholimex chai 90g
365	Ớt Hiểm Đỏ túi 50g +/-2g
366	Bắp Cải Trắng bắp từ 750-850g +/-20g
367	Bắp Mỹ Tách Hạt khay 200g +/-5g
368	Giò nóng 7 phút (gói lá) PM túi 10 chiếc
369	Nem thịt đặc biệt CP hộp 250gr
370	Xúc xích tiệt trùng lắc Xốt BBQ mật ong CP hộp 70gr
371	(MUA CHUNG) Combo 4 túi Gạo Séng Cù Mường Khương Đặc  Sản Lào Cai túi 5kg
372	"KORENO Mỳ Cay 7 Cấp Độ Hương Vị Chua Cay Jumbo Túi 1,01 kg ( 10 gói)"
373	Sữa đặc có đường Ông Thọ thượng hạng nắp khui lon 380g
374	Lạp xưởng tươi Đài Loan LC gói 700gr
375	 Xúc xích Vienna LC Foods gói 500g ( 10 cái )
376	Cánh Gà CP khay 300g
377	[QUÀ TẶNG] Lốc 12 chai Nước suối Number 1 chai 500ml
378	Combo 5 gói mì lẩu thái hương tôm Acecook gói 81gr
379	Thùng 24 chai Trà xanh C2 chanh chai 455ml
380	Thùng 24 chai nước tăng lực Number one chai 330ml
381	Thùng 24 chai Trà xanh C2 trà đen hương đào chai 455ml
382	Thùng 24 chai Trà Mật Ong Vị Việt Quất Boncha chai 450ml
383	Chè dưỡng nhan Lý tưởng nấm tuyết đông trùng hạ thảo 50g
384	Kem chống muỗi Remos hương Cam 70g
385	Mỡ gà JAPFA BEST khay 500gr
386	Muối bột canh IOT Vifon gói 180gr
387	VUA MUỐI Muối tinh sấy Iot Túi 1kg
388	Nước mắm cá cơm Phan Thiết - Trịnh Gia chai 900ml
389	Thùng 30 gói mì Hảo Hảo hương vị lẩu kim chi Hàn Quốc Acecook gói 75gr
390	QUÀ TẶNG Xúc xích Kielbasa Đức Việt gói 200gr
391	(QUÀ TẶNG) Dầu thực vật Freda chai 400 ml
392	[Giảm 59%] 5 khay bít tết bò Úc Mr. T khay 200gr tặng lá hương thảo 25gr 
393	Xúc xích Kielbasa Đức Việt gói 200gr
394	Nem chua rán phomai tan chảy Vị Phố gói 400gr+/-5% ( 100% làm từ thịt heo tươi nóng hảo hạng )
395	Móng giò heo Vĩnh Tân khay 400g +/- 20g
396	"Combo 5Kg Ổi Giống Đài Loan, Túi 5kg +/- 300g"
397	Phô Mai Vinamilk gói 120g (8 miếng)
398	Combo 12 chai Nước suối Number 1 chai 500ml
399	 [ THÙNG 24 CHAI ] Nước suối Aquafina  thùng 24 chai x 500ml
400	Cà chua túi 1kg +/- 50gr
401	Hành lá - hành hoa túi 100gr
402	Gà ta Lạc Thủy thả vườn con 0.85-0.95kg
403	Bít tết bò Úc Mr. T khay 200gr
404	Cải ngồng túi 400gr
405	Bí xanh sơ chế túi 400gr
406	Thịt xay heo ĐẶC BIỆT CP hộp 300gr
407	Thịt gà tiện lợi Hòa Phát khay 500g
408	Thịt ức phile gà Hòa Phát khay 500gr
409	Thịt má đùi gà CP khay 500gr
410	Thịt ức phile gà CP khay 500gr
